Index,Disease Name,Supplement Name,Supplement Image,Buy Link,Drug Description
0,Apple___Apple_scab,Foliar Fungicide ( Except 97% Of Fungal Diseases ),https://github.com/NGUYENMINHPHAT/Dissertation_Graduate/blob/main/MEDICINE/Apple___Apple_scab/Apple___Apple_scab.png?raw=true,http://localhost/Agriculture/single_product.php?status=singleproduct&&id=44,"<i><b> Effects : </b></i> Deep medicine is a medicine used to prevent and treat plant diseases. This medicine has the following main uses: Deep medicine has the ability to prevent the growth of bacteria, fungi and other pathogens on plants. When used properly, this medication helps protect plants from attack by harmful agents and prevents the spread of diseases in the garden. Deep medicine provides nutritional ingredients and plant growth stimulants, helping to increase plant resistance and vitality. Deep medicine has the ability to stimulate the recovery process of plants after illness. The ingredients in the medicine help the plant recover strongly, enhance root and leaf growth, thereby returning the plant to a healthy state."
1,Apple___Black_rot,Strong Antagonist - Trichtroderma ( Protein 40% ),https://github.com/NGUYENMINHPHAT/Dissertation_Graduate/blob/main/MEDICINE/Apple___Black_rot/Apple___Black_rot.png?raw=true,http://localhost/Agriculture/single_product.php?status=singleproduct&&id=43,"<i><b>Effects :</b></i> Trichoderma medicine is a biological medicine used to prevent and treat plant diseases. This medicine contains strains of bacteria that have antibacterial and antifungal properties. Main uses of Trichoderma medicine: Trichoderma medicine has the ability to inhibit the growth of pathogenic bacteria and fungi on plants. When used properly, it can help stop the spread of disease and protect plants from harmful agents."
2,Apple___Cedar_apple_rust,Strong Antagonist - Trichtroderma ( Protein 40% ),https://github.com/NGUYENMINHPHAT/Dissertation_Graduate/blob/main/MEDICINE/Apple___Cedar_apple_rust/Apple___Cedar_apple_rust.png?raw=true,http://localhost/Agriculture/single_product.php?status=singleproduct&&id=43,"<i><b>Effects :</b></i> Trichoderma medicine is a biological medicine used to prevent and treat plant diseases. This medicine contains strains of bacteria that have antibacterial and antifungal properties. Main uses of Trichoderma medicine: Trichoderma medicine has the ability to inhibit the growth of pathogenic bacteria and fungi on plants. When used properly, it can help stop the spread of disease and protect plants from harmful agents."
3,Apple___healthy,Humic Bacteria + Healthy Plants ( Amino ),https://github.com/NGUYENMINHPHAT/Dissertation_Graduate/blob/main/MEDICINE/Apple___healthy/Apple___healthy.png?raw=true,http://localhost/Agriculture/single_product.php?status=singleproduct&&id=67,"<i><b> Effects : </b></i> Humic Bacteria + Healthy Plants (Amino) is a medicine used to prevent and treat plant diseases. This medicine has the following main uses: Humic Bacteria + Healthy Plants (Amino) medicine contains nutrients and beneficial bacteria, helping to improve the general health of plants. The humic substances in the medicine provide the necessary substances for plants to enhance the process of nutrient absorption and photosynthesis. Beneficial bacteria help improve plant nutrient absorption and increase resistance."
4,Background_without_leaves,Please reupload image with leaf,https://github.com/NGUYENMINHPHAT/Dissertation_Graduate/blob/main/MEDICINE/Background_without_leaves/Background_without_leaves.png?raw=true,,Please reupload image with leaf
5,Blueberry___healthy,BAS Medicine Approved 94% ( Bacterial Diseases ),https://github.com/NGUYENMINHPHAT/Dissertation_Graduate/blob/main/MEDICINE/Blueberry___healthy/Blueberry___healthy.png?raw=true,http://localhost/Agriculture/single_product.php?status=singleproduct&&id=48,"<i><b> Effects : </b></i> BAS is a drug used to prevent and treat plant diseases. This medicine has the following main uses: BAS medicine has the ability to prevent the growth of bacteria, fungi and other pathogens on plants. When used properly, this medication helps protect plants from attack by harmful agents and prevents the spread of diseases in the garden. BAS medicine has the ability to help plants recover after illness. The ingredients in the medicine help stimulate the plant's recovery process and enhance growth to quickly restore health."
6,Cherry___healthy,Microbial Humic + High Quality Fish Protein,https://github.com/NGUYENMINHPHAT/Dissertation_Graduate/blob/main/MEDICINE/Cherry___healthy/Cherry___healthy.png?raw=true,http://localhost/Agriculture/single_product.php?status=singleproduct&&id=68,"<i><b> Effects : </b></i> Microbial Humic medicine + high-quality fish protein medicine has important uses in preventing and treating plant diseases. Below is a description of the uses of this medicine: Microbial Humic medicine + high-quality fish protein medicine helps enhance the health and growth of rice plants. It provides necessary nutrients for plants and stimulates metabolism in plants, thereby helping rice plants grow strongly and achieve high yields. This medicine helps improve soil quality and provide necessary nutrients for vegetable crops. It enhances the development of the root system, helps plants better absorb nutrients from the soil and at the same time enhances plant resistance to pathogens."
7,Cherry___Powdery_mildew,TriZon Medicine Approved 98% ( Powdery Mildew ),https://github.com/NGUYENMINHPHAT/Dissertation_Graduate/blob/main/MEDICINE/Cherry___Powdery_mildew/Cherry___Powdery_mildew.png?raw=true,http://localhost/Agriculture/single_product.php?status=singleproduct&&id=47,<i><b> Effects : </b></i> TriZon is a drug used to prevent and treat plant diseases. This medicine has the following main uses: TriZon medicine helps enhance plant resistance. The ingredients in the medicine help stimulate the plant's immune system and provide necessary nutrients to enhance its ability to fight pathogens. Helps plants recover after illness. TriZon medicine has the ability to help plants recover after illness. The ingredients in the medicine help stimulate the plant's recovery process and enhance plant growth to quickly restore health.
8,Corn___Cercospora_leaf_spot Gray_leaf_spot,MeCin Medicine Approved 98% ( Leaf Blight Disease ),https://github.com/NGUYENMINHPHAT/Dissertation_Graduate/blob/main/MEDICINE/Corn___Cercospora_leaf_spot%20Gray_leaf_spot/Corn___Cercospora_leaf_spot%20Gray_leaf_spot.png?raw=true,http://localhost/Agriculture/single_product.php?status=singleproduct&&id=49,"<i><b> Effects : </b></i> MeCin is a medicine used to prevent and treat plant diseases. This medicine has the following main uses: MeCin medicine has the ability to prevent the growth of bacteria, fungi and other pathogens on plants. When used properly, this medication helps protect plants from attack by harmful agents and prevents the spread of diseases in the garden. MeCin medicine has the ability to improve soil quality. The ingredients in the medicine help improve soil structure, increase water holding capacity and provide nutrients to plants, thereby helping plants grow better in a good soil environment."
9,Corn___Common_rust,BAS Medicine Approved 94% ( Bacterial Diseases ),https://github.com/NGUYENMINHPHAT/Dissertation_Graduate/blob/main/MEDICINE/Corn___Common_rust/Corn___Common_rust.png?raw=true,http://localhost/Agriculture/single_product.php?status=singleproduct&&id=48,"<i><b> Effects : </b></i> BAS is a drug used to prevent and treat plant diseases. This medicine has the following main uses: BAS medicine has the ability to prevent the growth of bacteria, fungi and other pathogens on plants. When used properly, this medication helps protect plants from attack by harmful agents and prevents the spread of diseases in the garden. BAS medicine has the ability to help plants recover after illness. The ingredients in the medicine help stimulate the plant's recovery process and enhance growth to quickly restore health."
